Date,Open,High,Low,Close,Volume
04/12/2024,"22.70","23.20","22.41","22.67","36,764,461"
04/11/2024,"22.65","22.91","22.25","22.84","26,399,381"
04/10/2024,"22.22","22.71","22.01","22.42","28,642,930"
04/09/2024,"23.01","23.09","22.46","22.81","27,724,529"
04/08/2024,"23.08","23.20","22.67","23.00","25,022,711"
04/05/2024,"22.42","23.32","22.31","22.96","38,716,820"
04/04/2024,"23.82","24.10","22.40","22.48","64,995,301"
04/03/2024,"22.44","23.01","22.38","22.70","30,357,410"
04/02/2024,"22.00","22.79","21.72","22.72","39,770,566"
04/01/2024,"22.98","23.21","22.40","22.86","41,000,031"
03/28/2024,"24.17","24.28","22.94","23.01","70,008,172"
03/27/2024,"25.00","25.48","24.26","24.51","38,600,090"
03/26/2024,"24.76","25.47","24.47","24.89","43,610,461"
03/25/2024,"24.12","24.62","24.05","24.51","29,255,900"
03/22/2024,"24.20","24.48","24.02","24.18","25,453,029"
03/21/2024,"25.30","25.33","24.44","24.49","37,099,609"
03/20/2024,"23.77","24.65","23.67","24.57","40,273,770"
03/19/2024,"23.50","23.83","22.92","23.80","43,247,246"
03/18/2024,"23.77","24.18","23.32","24.00","44,083,039"
03/15/2024,"23.85","24.10","23.42","23.49","61,421,000"
03/14/2024,"24.83","24.97","24.14","24.43","49,214,781"
03/13/2024,"24.70","25.44","24.60","25.00","59,712,992"
03/12/2024,"25.57","25.64","24.35","24.70","75,202,609"
03/11/2024,"25.89","26.83","25.29","25.35","60,829,273"
03/08/2024,"27.19","27.28","25.81","26.04","84,256,117"
03/07/2024,"27.01","27.50","26.38","26.46","117,519,297"
03/06/2024,"25.75","26.75","24.53","26.16","207,386,891"
03/05/2024,"23.96","24.41","23.43","23.81","49,542,273"
03/04/2024,"24.40","24.58","23.53","24.04","64,320,031"
03/01/2024,"25.30","25.69","24.54","24.93","64,794,406"
02/29/2024,"24.81","25.29","24.36","25.08","62,753,301"
02/28/2024,"24.52","24.84","24.25","24.42","47,313,980"
02/27/2024,"23.76","24.62","23.72","24.53","64,967,422"
02/26/2024,"23.03","23.88","22.94","23.56","46,499,480"
02/23/2024,"23.53","24.07","22.82","22.97","48,840,770"
02/22/2024,"23.77","23.95","23.05","23.59","64,458,246"
02/21/2024,"22.30","22.93","22.29","22.74","60,411,461"
02/20/2024,"23.84","24.00","22.72","23.40","93,374,352"
02/16/2024,"24.96","25.50","24.39","24.44","65,498,230"
02/15/2024,"25.04","25.46","24.71","25.41","70,544,320"
